事	こと	thing(s), matter(s), fact
倍	ばい	double
僕	ぼく	I (used by men towards those of equal or lower status)
億	おく	hundred million
光	ひかり	light
内	うち	within, inside
別	べつ	distinction, different
力	ちから	strength, power
君	きみ	Mr. (junior) ~, master ~
味	あじ	flavor, taste
喉	のど	throat
嘘	うそ	lie
坂	さか	slope, hill
堅	かたい	solid, hard, firm
壁	かべ	wall
変	へん	strange, odd
夢	ゆめ	a dream
夫	おっと	husband
妻	つま	wife (humble)
娘	むすめ	daughter (humble)
子	こ	child
字	じ	letter; character
客	きゃく	guest, customer
寺	てら	Buddhist temple
島	しま	island
市	し	city
席	せき	a seat
形	かたち	shape
彼	かれ	he, boyfriend
心	こころ	heart, mind
急	きゅう	urgent, sudden; steep
指	ゆび	finger
日	ひ	sun, sunshine, day
昔	むかし	old days; past
星	ほし	star
林	はやし	woods, forest
枝	えだ	branch, twig
棚	たな	shelves, rack
森	もり	forest
毛	け	hair, fur
気	き	spirit, mood
港	みなと	harbor, port
湖	みずうみ	lake
湯	ゆ	hot water
火	ひ	fire
点	てん	mark, score, grade; point, dot
為	ため	good, advantage, in order to
熱	ねつ	fever, temperature
用	よう	errand, task, business (to take care of)
畳	たたみ	tatami mat (Japanese straw mat)
皆	みな	everyone
石	いし	stone
砂	すな	sand
程	ほど	degree, extent
答	こたえ	answer, response
米	こめ	uncooked rice
糸	いと	thread
絹	きぬ	silk
線	せん	line, wire
腕	うで	arm (in reference to body)
舟	ふね	ship, boat
草	くさ	grass
葉	は	leaf
虫	むし	insect
血	ち	blood
表	おもて	surface; front; outside
裏	うら	reverse side, back
親	おや	a parent
訳	わけ	reason; explanation
都	と	metropolitan
鏡	かがみ	mirror
間	あいだ	space, interval
隅	すみ	corner
雲	くも	cloud
音	おと	sound, note
首	くび	neck
髪	かみ	hair